,proverb,translation,
178,அதிகாரி வீட்டில் திருடித் தலையாரி வீட்டில் வைத்ததுபோல.,As one placed in the house of the headman what he had stolen in the house of the chief.Said of a thing done unwittingly.,
179,அதிகாரி வீட்டுக் கோழிமுட்டை குடியானவன் வீட்டு அம்மியை உடைக்கும்.,An egg obtained from the house of the chief will break the grind-stone in the house of the peasant.Implying that authority imparts to the insignificant overwhelming power.,
180,அதிஷ்டம் தொட்ட கழுக்காணி.,A short thick person favoured by fortune.,
181,அதிஷ்டம் ஆராய்ப் பெருகுகிறது.,Fortune flows as a river.,
182,அதிஷ்டம் இருந்தால் அரசு பண்ணலாம்.,When fortune smiles one may reign as a king.,
183,"அதிஷ்டம் இல்லாதவனுக்குக் கலப்பால் வந்தாலும், அதையும் பூனை குடிக்கும்.","Although the unfortunate gets a large measure of milk, the cat will lap it all up.Destiny prevails to thwart benefits when one is unfortunate.",
184,அதிஷ்டவான் மண்ணைத் தொட்டாலும் பொன்னாகும்.,When touched by the fortunate even earth becomes gold.,
185,"அதிர அடித்தால், உதிர விளையும்.","If thoroughly ploughed, the yield will be abundant.",
186,"அதிலும் இது புதுமை, இதிலும் அது புதுமை.","This is stranger than that, and that is stranger than this.",
187,அதிலே குறைச்சல் இல்லை ஆட்டடர் பூசாரி.,"O, priest there is no lack, proceed with the ceremony.Said to a Pujáchári by way of encouragement.",
188,"அது அதற்கு ஒரு கவலை, ஐயாவுக்கு எட்டுக் கவலை.","Each object is attended by a single anxiety, whereas the master has eight.",
189,அது எல்லாம் உண்டிட்டு வா என்பான்.,He will eat it all and say come.,
190,அதுக்கு இட்ட காசு மினக்கெட்டு அரிவாள்மணைக்குச் சுறுக்கிட்டதா?,"Did the money, diverted from the object for which it was given, avail for the purchase of a sickle?",
191,அதுவும் போதாதென்று அழலாமா இனி?,May you hereafter weep because that also is too little?,
