,proverb,translation
308,ആലെക്കൽനിന്നു പാല് കുടിച്ചാൽ വീട്ടിൽ മോരുണ്ടാകയില്ല,
309,ആലെക്കു വരുന്നെരത്ത് മോന്തെക്കടിക്കരുത്,
310,ആവണക്കെണ്ണ കൊണ്ട് മനാരിച്ച പോലെ,
311,ആവതുപോൽ ആചാരം,
312,ആവൽക്ക് ആവൽ വിരുന്നു വന്നാൽ അങ്ങേ കൊമ്പിലും ഇങ്ങേ കൊമ്പിലും തൂങ്ങിക്കൊള്ളും,
313,ആവശ്യക്കാരനു ഔചിത്യമില്ല,
314,ആവിയുമില്ല അനക്കവുമില്ല,
315,ആവുംകാലം ചെയ്തു ചാവും കാലം കാണാം,
316,ആശതീർന്നാൽ സമ്പത്തായി,
317,മനാരിക്ക=ശൌചിക്ക.,
318,ആശയുടെ ആധിക്യം ആപത്തിന്നിരിപ്പിടം,
319,ആശവലിയൊൻ അതാവുപെട്ടുപോം,
320,ആശാൻ പിഴച്ചാൽ ഏത്തമില്ല,
321,ആശാനക്ഷരം ഒന്നുപിഴച്ചാൽ ശിഷ്യന്നക്ഷരം അമ്പത്തൊന്നും,
322,ആശാനുകൊടുക്കാത്തതു വൈദ്യനുകൊടുക്കും,
323,ആശാരിയുടെ ചേൽ ആദിയും ഒടുവും കഷ്ടം,
324,ആശ്രയം ഇല്ലാത്തവർക്ക് ഈശ്വരൻ ആശ്രയം,
325,ആഷാഢഭൂതിതന്നെ ഇവൻ,
326,ആസനംമുട്ടിയാൽ അമ്പലം വെൺപറമ്പു,
327,ആസനത്തിൽപുൺ അങ്ങാടിയിൽകാട്ടരുത്,
328,ആൾ അഞ്ചെങ്കിൽ പയിമ്പപത്തു,
329,ആളറിഞ്ഞാൽ കാള മൂടുകൊണ്ടു,
330,ആളിൽകുറിയവനെ വിശ്വസിച്ചുകൂടാ,
331,ആളില്ലാദുഃഖം അഴുതാലുംതീരാ,
332,"ആളുക്ക് മാങ്ങ, അടിയത്തിന് തലച്ചുമടു",
333,"ആളുക്ക് സഹായം, മരത്തിന് വേർ",
334,"ആളുണ്ടായാലെന്തുഫലം, ആണുണ്ടായാൽ ഉണ്ട് ഫലം",
335,ആളുപാതി ആടപാതി,
336,ആളുവില കല്ലുവില,
337,ആളെനോക്കി പെണ്ണും മരംനോക്കികൊടിയും,
338,ആളെരെചെല്ലൂൽ(പോകിലും) താനെറെ ചെല്ലുക.(പോകണം),
339,ആളേറെ പോകുന്നതിനേകാൾ താനേറെപോകുന്നത് നന്നു.,
340,ആഴമുള്ളകുഴിക്കു നീളമുള്ള വടി,
341,"ഇക്കരനിന്നു നോക്കുമ്പോൾ അക്കരപച്ച, അക്കരെ നിന്നു നോക്കുമ്പോൾ ഇക്കരപച്ച",
342,ഇഞ്ചത്തലയും ഈഴത്തലയും എത്രയും ചതച്ചാൽ അത്രയും നന്ന്,
343,ഇഞ്ചിതിന്നകുരങ്ങിനെപോലെ,
344,ഇടച്ചേരിനായരും കുരുത്തോലചൂട്ടും,
345,"ഇടത്തുകൈക്കുവലത്തുകൈതുണ, വലത്തുകൈക്കുടത്തുകൈ തുണ",
346,ഇടലചുടലക്കാകാ; ശൂദ്രനുഒട്ടുംആകാ,
347,ഇടികേട്ട പാമ്പ്പോലെ,
348,ഇടിക്കു കുമിൾപൊടിച്ചപോലെ,
349,ഇടിവെട്ടിയ മരംപോലെ,
350,ഇട്ടകൈക്കുകടിക്കുന്ന നായുടെസ്വഭാവം,
351,ഇട്ടിയമ്മഏറെമറിഞ്ഞാൽ കൊട്ടിയമ്പലത്തോളം,
352,ഇട്ടുനിരക്കുന്നഅച്ചിക്കു നിരങ്ങിഉണ്ണുന്നനായർ,
353,ഇണങ്ങാതെ പിണങ്ങിക്കൂടാ,
354,"ഇണങ്ങിയാൽ നക്കിക്കൊല്ലും, പിണങ്ങിയാൽുത്തിക്കൊല്ലും",
355,ഇണയില്ലാത്തവന്റെ തുണകെട്ടല്ല (പിടിക്കരുതു),
356,"ഇണയില്ലാത്തവനോടു ഇണകൂടിയാൽ ഇണഒമ്പതുംപോകുംത്താമതു താനുംപോകുംമ്മേടപ്പനെ തെങ്ങേൽകേറ്റി,അപ്പംവെന്തുംവന്നുമ്മേടപ്പൻ ചത്തുംവന്നു",
357,ഇത്തിക്കണ്ണികത്തിച്ചാൽ കുത്തിക്കടിക്കും,
358,ഇന്നത്തെപണി നാളെക്കു വെക്കരുതു,
359,ഇന്നലെപെയ്തമഴയ്ക്കു ഇന്നുകുരുത്ത(മുളച്ച)തകര,
360,ഇന്നിരുന്നുനാളെ മരിച്ചാലുംല്ലപേരുപറയിക്കണം,
361,ഇന്നുചെയ്യാവുന്നതു നാളെയാക്കരുതു,
362,ഇമ്പംപെരുപ്പതു തുമ്പത്തിനായ് വരും,
363,ഇരച്ചുവിട്ട വാണംപോലെ,
364,ഇരട്ടിപ്പണിക്കു ഇരുട്ടുതപ്പിയെപോക,
365,ഇരന്നുമക്കളെപ്പോറ്റിയാൽ ഇരപ്പത്തരംപോകയില്ല,
366,ഇരപ്പാളിക്കിരിപ്പിടംകൊടുത്താൽിരകാലത്തിനകത്തു ശിരഃകമലത്തിൽ കയറിരിപ്പാകും,
367,ഇരപ്പാളി വെറ്റിലതിന്നണമെങ്കിൽഴുവീടറിയണം,
368,ഇരയിട്ടാലെ മീൻപിടിക്കാവു,
369,ഇരവിഴുങ്ങീയ പാമ്പുപോലെ,
370,ഇരിക്കുന്ന അമ്മമാരുടെ വാതിൽപോലെ,
371,ഇരിക്കുന്നകൊമ്പു വരഞ്ഞാലൊ,
372,ഇരിക്കുമ്മുമ്പെ കാൽ നീട്ടല്ല,
373,ഇരിക്കുമ്മുമ്പെ നിലം നോക്കണം,
374,ഇരിങ്ങപ്പാറ പൊന്നായാൽ പാതി ദേവർക്കു,
375,ഇരിപ്പിടം കെട്ടിയെ പടിപ്പുര കെട്ടാവു,
376,ഇരിപ്പിടം പണിതിട്ടു പടിപ്പുര,
377,ഇരിമ്പു കടിച്ച വെള്ളം തേക്കുമൊ(തികട്ടുമൊ),
378,ഇരിമ്പു പഴുക്കുമ്പോൾ കൊല്ലനും കൊല്ലത്തിയും ശേഷിക്കും,
379,ഇരുമ്പുപാര(ഉലക്ക) വിഴുങ്ങി ചുക്കുവെള്ളം കുടിച്ചാൽ ദഹനം വരുമൊ,
380,ഇരിമ്പുരസം കുതിര അറിയും; ചങ്ങല രസം ആന അറിയും,
381,ഇരിമ്പും തൊഴിലും ഇരിക്കെ കെടും,
382,ഇരിമ്പുണ്ണും നീരുണ്ടൊ ഞെക്കിയാൽകക്കൂ,
383,ഇരുട്ടത്തു കൊണ്ട അടി.,
384,ഇരുട്ടുകൊണ്ടു ഓട്ടയടച്ചാൽ വെട്ടം വീഴുമ്പൊൾ തഥൈവ.,
385,ഇരുതോണിയിൽ കാലുവച്ചാൽ വെള്ളത്തിൽ കിടക്കും.,
386,ഇരുത്തിയെ വെച്ചതുപോലെ.,
387,ഇരുന്നു മരം മുറിച്ചാൽ താൻ അടിയിലും മരം മുകളിലും.,
388,ഇരുന്നവൻ എഴുന്നീറ്റപ്പോഴെക്കു നിന്നവൻ പത്തുനാഴിക ദൂരെ.,
389,ഇരുന്നിട്ടു വേണം കാലുനീട്ടാൻ.,
390,"ഇരുന്നിരുന്നെകാദശിയും നോറ്റു, അറ്റമില്ലാത്ത ചാളയും പെട്ടു.",
391,"ഇരുന്നുണ്ടവൻ രുചിയറിയാ, കിളച്ചുണ്ടവൻ രുചിയറിയും.",
392,ഇരുന്നുണ്ടാൽ കുന്നും തുലയും.,
393,ഇരുന്നുനോക്കിയാൽ നിരന്നമൂട്,
394,ഇരുന്നിടത്തുനിന്നെഴുന്നേറ്റില്ല എങ്കിൽ രണ്ടും അറികയില്ല,
395,ഇരുമുറിപ്പത്തായത്തിൽ ഒരുമുറിവിത്തെന്റെത്,
396,ഇരുവാച്ചിയുടെ സൗരഭ്യം പീനാറിക്ക് വരുമൊ,
397,ഇറച്ചിയിരിക്കെ തൂവൽ പിടിക്കരുത്,
398,ഇറച്ചിക്ക്പോയോൻ വിറച്ചിട്ട്‌ചത്ത്‌. കാത്തിരുന്നോൻ നുണച്ചിട്ടും ചത്തു,
399,ഇറച്ചിതിന്മാറുണ്ട്; എല്ലു കോർത്തു കഴുത്തിൽ കെട്ടാറില്ല,
400,ഇറക്കെയിറക്കെ വെള്ളം; കൊടുക്കെകൊടുക്കെ ധനം,
401,"ഇലക്കറിയെന്തിനു മഞ്ഞ, ഏക്കറക്കെന്തിനു മണ്ണ്",
402,"ഇല മുള്ളേൽ വീണാലും, മുള്ള് ഇലമേൽ വീണാലും ഇലക്കു തന്നെ കേട്",
