	proverb	translation
155	ఆకలి యెత్తుతుంది అత్తగారా అంటే, రోకలి మింగవే కోడలా అన్నదట.	When the daughter-in-law said she was hungry, her mother-in-law told her to swallow the pestle.Rokali is a wooden pestle, ﬁve or six feet long, used for pounding rice.
156	ఆకలి రుచి యెరగదు, నిద్ర సుఖమెరగదు, వలపు శిగ్గు యెరగదు.	Hunger knows not taste, sleep knows not comfort, lust knows not shame.Hunger is the best sauce.
157	ఆకాశ పంచాంగము.	A sky calendar.A fanciful tale.
158	ఆకాశ వర్తకుడు.	A trader in the air.A swindler. An impostor. ​
159	ఆకును అందదు, పోకను పొందదు.	It reaches not the leaf, it suits not the nut.Quite inadequate.
160	ఆకుపోయి నూతపడితే, వెతకపోయి యేడుగురు పడ్డారట.	When the leaf went and fell into the well, seven men went in search and fell in after it.The gain is not worth the candle.(French)
161	ఆగడపలు వేశినవి అత్తగారా అంటే, కొలబుర్ర నాచేతిలో వున్నది కోడలా అన్నదట.	“See! The signs of rain appear!” cried the daughter-in-law. “What of that?” said the mother-in-law “I have the measure.”
162	ఆగభోగాలు అక్క కుడిస్తే, అంబటి పరకలు బావ కుడిచినాడు.	While my sister enjoyed every luxury, my brother-in-law had nothing to eat but the scum of the porridge.Said of a man who is poorly treated in his father-in-law’s house while his wife fares well.
163	ఆగ్రహాన ఆనపెట్టుకున్నట్టు.	Like taking an oath in a ﬁt of passion.
164	ఆచారం అదిరిపడ్దదీ, ధూపార్తి తుళ్లిపడ్డది, కొత్త కుండ తేరా నెత్తాళ్లు వండుకొందాము.	Let our sanctity be scandalized, let the censer be shocked bring a new pot and let us cook sprats. ​
165	ఆచారం ఆచారం అన్నంభొట్లూ అంటే, పెద్ద చెరువు కుక్క ముట్టుకొన్నది అన్నట్టు	Seeing a hypocrite] they cried out, “O Annambhotlu! purity ! purity!” He answered “Alas! a dog has touched the big tank.”
166	ఆచారానకు అంతమూ లేదు, అనాచారానకు ఆదీ లేదు.	There is no limit to purity, nor any beginning to impurity.Man is sinful from his birth, and never attains to perfect purity.
167	ఆచార్యుని తలచి నిప్పులో చెయ్యిపెట్టితే కాలదా?	If you think of your spiritual guide and put your hand in the ﬁre, will it not be burnt ?
168	ఆటా తీరె, పాటా తీరె, కోటలో రామరాజ్యము.	The dancing is over, the song is ﬁnished, and every one is as free as in the kingdom of Rama.(Sec Nos. 278, 1644, 1987.)
169	ఆడదానిచేతి అర్థమూ, మొగవానిచేతి బిడ్డా బ్రతకదు.	Money left in the hands of a woman wont last ; a child left in the hands of a man wont live.
170	ఆడదాని మాట, నీళ్ల మూట.	A woman’s word, a bundle of water.A woman's mind and winter wind change oft.
171	ఆడది బొంకితే గోడ పెట్టినట్టు, మొగవాడు బొంకితే తడిక కట్టినట్టు.	If a woman lies, it’s like building a wall ; if a man lies, it’s like putting up a mat ( easily seen through. )
172	ఆడ నేరక మద్దెలమీద తప్పు చెప్పినట్టు.	Not being able to dance, she abused the drum.A bad workman complains of his tools.An ill shearer never got a hook. (scotch)
173	ఆడపెత్తనము, తంబళి దొరతనము.	Woman’s rule, a Tambali’s government.A Tambali is a Saiva priest of low origin, who wears the sacred thread, and endeavours to observe Brahminical customs.
174	ఆడబోయిన తీర్థము యెదురుగా వచ్చినది.	The sacred water in which the man was going to bathe came to meet him.A thing sought for to come to hand without trouble.
175	ఆడి తప్పరాదు, పలికి బొంకరాదు.	Having promised, you should not fail; having spoken, you should not lie (retract).
176	ఆ తండ్రికి కొడుకు కాడా.	Is he not the son of that father?Like father, like son.Such a father, such a son. (Portuguese)He is his father’s son.(Latin)
177	ఆతురగానికి తెలివి మట్టు.	A hasty man is not wise.He that is hasty of spirit exalteth folly. Proverbs xiv. 29.A hasty man never wants woe.
178	ఆ తుష్టికీ యీ నష్టికీ సరి.	That proﬁt and this loss are equal.
179	ఆత్మస్తుతీ, పరనిందా, అర్థాపేక్షా, లేని మహానుభావుడికి నాకూ డబ్బు, శుద్ధశుంఠకు వాడికీ డబ్బా	Am I, an upright man, not a boaster, a fault ﬁnder, nor covetous, to have one pice, and is this great fool to have a pice also ?In this speech a man committed the very three faults from which he boasted he was free.
